temperature,city,pression,date
281.56,London,1034,2025-01-14 12-50
276.01,Paris,1036,2025-01-14 12-50
269.58,Washington,1036,2025-01-14 12-50
281.56,London,1034,2025-01-14 12-49
276.01,Paris,1036,2025-01-14 12-49
269.58,Washington,1036,2025-01-14 12-49
281.56,London,1034,2025-01-14 12-48
276.01,Paris,1036,2025-01-14 12-48
269.58,Washington,1036,2025-01-14 12-48
281.56,London,1034,2025-01-14 12-47
276.01,Paris,1036,2025-01-14 12-47
269.58,Washington,1036,2025-01-14 12-47
281.56,London,1034,2025-01-14 12-46
276.02,Paris,1036,2025-01-14 12-46
269.58,Washington,1036,2025-01-14 12-46
281.56,London,1034,2025-01-14 12-45
276.02,Paris,1036,2025-01-14 12-45
269.58,Washington,1036,2025-01-14 12-45
281.56,London,1034,2025-01-14 12-44
276.02,Paris,1036,2025-01-14 12-44
269.58,Washington,1036,2025-01-14 12-44
281.56,London,1034,2025-01-14 12-43
276.02,Paris,1036,2025-01-14 12-43
269.58,Washington,1036,2025-01-14 12-43
281.56,London,1034,2025-01-14 12-42
276.02,Paris,1036,2025-01-14 12-42
269.58,Washington,1036,2025-01-14 12-42
281.38,London,1034,2025-01-14 12-41
276.02,Paris,1036,2025-01-14 12-41
269.58,Washington,1036,2025-01-14 12-41
281.38,London,1034,2025-01-14 12-40
276.02,Paris,1036,2025-01-14 12-40
269.58,Washington,1036,2025-01-14 12-40
281.38,London,1034,2025-01-14 12-39
275.71,Paris,1036,2025-01-14 12-39
269.58,Washington,1036,2025-01-14 12-39
281.32,London,1035,2025-01-14 12-38
275.71,Paris,1036,2025-01-14 12-38
269.58,Washington,1036,2025-01-14 12-38
281.32,London,1035,2025-01-14 12-37
275.71,Paris,1036,2025-01-14 12-37
269.58,Washington,1036,2025-01-14 12-37
281.38,London,1034,2025-01-14 12-36
275.71,Paris,1036,2025-01-14 12-36
269.05,Washington,1036,2025-01-14 12-36
281.38,London,1034,2025-01-14 12-35
275.71,Paris,1036,2025-01-14 12-35
269.05,Washington,1036,2025-01-14 12-35
281.32,London,1035,2025-01-14 12-32
275.71,Paris,1036,2025-01-14 12-32
269.05,Washington,1036,2025-01-14 12-32
281.32,London,1035,2025-01-14 12-31
275.71,Paris,1036,2025-01-14 12-31
269.05,Washington,1036,2025-01-14 12-31
281.32,London,1035,2025-01-14 12-30
275.71,Paris,1036,2025-01-14 12-30
269.05,Washington,1036,2025-01-14 12-30
