temperature,city,pression,date
281.56,London,1034,2025-01-14 12-50
276.01,Paris,1036,2025-01-14 12-50
269.58,Washington,1036,2025-01-14 12-50
281.56,London,1034,2025-01-14 12-49
276.01,Paris,1036,2025-01-14 12-49
269.58,Washington,1036,2025-01-14 12-49
281.56,London,1034,2025-01-14 12-48
276.01,Paris,1036,2025-01-14 12-48
269.58,Washington,1036,2025-01-14 12-48
281.56,London,1034,2025-01-14 12-47
276.01,Paris,1036,2025-01-14 12-47
269.58,Washington,1036,2025-01-14 12-47
281.56,London,1034,2025-01-14 12-46
276.02,Paris,1036,2025-01-14 12-46
269.58,Washington,1036,2025-01-14 12-46
281.56,London,1034,2025-01-14 12-45
276.02,Paris,1036,2025-01-14 12-45
269.58,Washington,1036,2025-01-14 12-45
281.56,London,1034,2025-01-14 12-44
276.02,Paris,1036,2025-01-14 12-44
269.58,Washington,1036,2025-01-14 12-44
281.56,London,1034,2025-01-14 12-43
276.02,Paris,1036,2025-01-14 12-43
269.58,Washington,1036,2025-01-14 12-43
281.56,London,1034,2025-01-14 12-42
276.02,Paris,1036,2025-01-14 12-42
269.58,Washington,1036,2025-01-14 12-42
281.38,London,1034,2025-01-14 12-41
276.02,Paris,1036,2025-01-14 12-41
269.58,Washington,1036,2025-01-14 12-41
281.38,London,1034,2025-01-14 12-40
276.02,Paris,1036,2025-01-14 12-40
269.58,Washington,1036,2025-01-14 12-40
281.38,London,1034,2025-01-14 12-39
275.71,Paris,1036,2025-01-14 12-39
269.58,Washington,1036,2025-01-14 12-39
281.32,London,1035,2025-01-14 12-38
275.71,Paris,1036,2025-01-14 12-38
269.58,Washington,1036,2025-01-14 12-38
281.32,London,1035,2025-01-14 12-37
275.71,Paris,1036,2025-01-14 12-37
269.58,Washington,1036,2025-01-14 12-37
281.38,London,1034,2025-01-14 12-36
275.71,Paris,1036,2025-01-14 12-36
269.05,Washington,1036,2025-01-14 12-36
281.38,London,1034,2025-01-14 12-35
275.71,Paris,1036,2025-01-14 12-35
269.05,Washington,1036,2025-01-14 12-35
281.32,London,1035,2025-01-14 12-32
275.71,Paris,1036,2025-01-14 12-32
269.05,Washington,1036,2025-01-14 12-32
281.32,London,1035,2025-01-14 12-31
275.71,Paris,1036,2025-01-14 12-31
269.05,Washington,1036,2025-01-14 12-31
281.32,London,1035,2025-01-14 12-30
275.71,Paris,1036,2025-01-14 12-30
269.05,Washington,1036,2025-01-14 12-30
281.32,London,1035,2025-01-14 12-29
275.71,Paris,1036,2025-01-14 12-29
269.05,Washington,1036,2025-01-14 12-29
281.32,London,1035,2025-01-14 12-28
275.71,Paris,1036,2025-01-14 12-28
269.05,Washington,1036,2025-01-14 12-28
281.32,London,1035,2025-01-14 12-27
275.71,Paris,1036,2025-01-14 12-27
269.05,Washington,1036,2025-01-14 12-27
281.32,London,1035,2025-01-14 12-26
275.44,Paris,1036,2025-01-14 12-26
269.05,Washington,1036,2025-01-14 12-26
281.38,London,1035,2025-01-14 12-25
275.44,Paris,1036,2025-01-14 12-25
269.05,Washington,1036,2025-01-14 12-25
281.38,London,1035,2025-01-14 12-24
275.44,Paris,1036,2025-01-14 12-24
269.05,Washington,1036,2025-01-14 12-24
281.32,London,1035,2025-01-14 12-23
275.44,Paris,1036,2025-01-14 12-23
269.13,Washington,1036,2025-01-14 12-23
281.32,London,1035,2025-01-14 12-22
275.44,Paris,1036,2025-01-14 12-22
269.13,Washington,1036,2025-01-14 12-22
281.18,London,1035,2025-01-14 12-21
275.44,Paris,1036,2025-01-14 12-21
269.13,Washington,1036,2025-01-14 12-21
281.18,London,1035,2025-01-14 12-20
275.44,Paris,1036,2025-01-14 12-20
269.13,Washington,1036,2025-01-14 12-20
281.18,London,1035,2025-01-14 12-19
275.44,Paris,1036,2025-01-14 12-19
269.13,Washington,1036,2025-01-14 12-19
281.18,London,1035,2025-01-14 12-18
275.44,Paris,1036,2025-01-14 12-18
269.13,Washington,1036,2025-01-14 12-18
281.14,London,1035,2025-01-14 12-17
275.44,Paris,1036,2025-01-14 12-17
269.13,Washington,1036,2025-01-14 12-17
281.14,London,1035,2025-01-14 12-16
275.44,Paris,1036,2025-01-14 12-16
269.13,Washington,1036,2025-01-14 12-16
281.14,London,1035,2025-01-14 12-15
275.44,Paris,1036,2025-01-14 12-15
269.13,Washington,1036,2025-01-14 12-15
281.14,London,1035,2025-01-14 12-14
275.44,Paris,1036,2025-01-14 12-14
269.13,Washington,1036,2025-01-14 12-14
281.14,London,1035,2025-01-14 12-13
275.44,Paris,1036,2025-01-14 12-13
269.13,Washington,1036,2025-01-14 12-13
281.14,London,1035,2025-01-14 12-12
275.14,Paris,1036,2025-01-14 12-12
269.13,Washington,1036,2025-01-14 12-12
281.14,London,1035,2025-01-14 12-11
275.14,Paris,1036,2025-01-14 12-11
269.13,Washington,1036,2025-01-14 12-11
280.89,London,1035,2025-01-14 12-10
275.14,Paris,1036,2025-01-14 12-10
269.13,Washington,1036,2025-01-14 12-10
280.89,London,1035,2025-01-14 12-09
275.14,Paris,1036,2025-01-14 12-09
269.13,Washington,1036,2025-01-14 12-09
281.0,London,1035,2025-01-14 12-08
275.44,Paris,1036,2025-01-14 12-08
269.13,Washington,1036,2025-01-14 12-08
280.89,London,1035,2025-01-14 12-07
275.25,Paris,1036,2025-01-14 12-07
269.05,Washington,1036,2025-01-14 12-07
280.89,London,1035,2025-01-14 12-06
275.25,Paris,1036,2025-01-14 12-06
269.05,Washington,1036,2025-01-14 12-06
280.89,London,1035,2025-01-14 12-05
275.23,Paris,1036,2025-01-14 12-05
269.05,Washington,1036,2025-01-14 12-05
280.89,London,1035,2025-01-14 12-04
275.23,Paris,1036,2025-01-14 12-04
269.05,Washington,1036,2025-01-14 12-04
280.76,London,1035,2025-01-14 12-03
275.23,Paris,1036,2025-01-14 12-03
269.05,Washington,1036,2025-01-14 12-03
280.89,London,1035,2025-01-14 12-02
275.23,Paris,1036,2025-01-14 12-02
269.05,Washington,1036,2025-01-14 12-02
280.89,London,1035,2025-01-14 12-01
